Pd8825_contig1403,mitochondrion
Pd8825_contig1488,mitochondrion
Pd8825_contig1492,mitochondrion
Pd8825_contig1500,mitochondrion
Pd8825_contig1533,mitochondrion
Pd8825_contig1543,mitochondrion
Pd8825_contig1592,mitochondrion
Pd8825_contig1573,mitochondrion
Pd8825_contig1641,mitochondrion
Pd8825_contig1642,mitochondrion
Pd8825_contig1666,mitochondrion
Pd8825_contig1691,mitochondrion
Pd8825_contig1696,mitochondrion
Pd8825_contig1687,mitochondrion
Pd8825_contig1719,mitochondrion
Pd8825_contig1717,mitochondrion
Pd8825_contig1727,mitochondrion
Pd8825_contig1767,mitochondrion
Pd8825_contig1835,mitochondrion
Pd8825_contig1861,mitochondrion
Pd8825_contig1880,mitochondrion
Pd8825_contig1902,mitochondrion
Pd8825_contig1928,mitochondrion
Pd8825_contig1929,mitochondrion
Pd8825_contig1971,mitochondrion
Pd8825_contig1976,mitochondrion
Pd8825_contig1982,mitochondrion
Pd8825_contig2013,mitochondrion
Pd8825_contig2033,mitochondrion
Pd8825_contig1967,mitochondrion
Pd8825_contig2084,mitochondrion
Pd8825_contig2056,mitochondrion
Pd8825_contig2315,mitochondrion
Pd8825_contig2362,mitochondrion
Pd8825_contig2326,mitochondrion
Pd8825_contig2480,mitochondrion
Pd8825_contig2495,mitochondrion
Pd8825_contig2894,mitochondrion
Pd8825_contig3804,mitochondrion
Pd8825_contig3827,mitochondrion
